fnde_raw;ipea_raw;check
aboboraada;abobora;1
espiga;nespera;0
cereais;vegetais;0
folhas;flocos;0
folhas;frutas;0
folhas;molho;0
folhas;polpa;0
feijaoupo;feijao;1
files;figo;0
files;aves;0
files;jilo;0
files;milho;0
files;oleo;0
morgota;torta;0
coalhada;cocada;0
coalhada;salada;0
seleta;peta;0
seleta;salada;0
seleta;salsa;0
chas;acai;0
chas;cacau;0
chas;cafe;0
chas;caja;0
chas;caju;0
chas;cana;0
chas;cara;0
chas;caxi;0
chas;coco;0
chas;aves;0
chas;pao;0
chas;uva;0
quirera;quibe;0
manjerona;tangerina;0
manjerona;manjericao;0
geremun;xerem;0
geremun;jerimum;1
melpuro;louro;0
melpuro;melado;0
melpuro;melao;0
melpuro;tempero;0
presunto;produto;0
morgote;jongome;0
morgote;sorvete;0
charque;caqui;0
charque;carne;1
charque;charuto;0
mortadela;hortela;0
biomassa;massa;0
banaande;banana;1
aipimada;aipim;1
baleeira;almeirao;0
monte;doce;0
monte;couve;0
monte;leite;0
monte;mana;0
monte;manga;0
monte;molho;0
monte;tomate;0
monte;torta;0
musculo;cuscuz;0
musculo;rucula;0
esfinha;ervilha;0
esfinha;farinha;0
esfinha;pinha;0
esfiha;ervilha;0
agua;acai;0
agua;acucar;0
agua;agriao;0
agua;alho;0
agua;amora;0
agua;araca;0
agua;aveia;0
agua;banha;0
agua;barra;0
agua;broa;0
agua;cacau;0
agua;caja;0
agua;caju;0
agua;cana;0
agua;caqui;0
agua;cara;0
agua;erva;0
agua;fava;0
agua;aves;0
agua;fruta;0
agua;fuba;0
agua;inga;0
agua;jaca;0
agua;lima;0
agua;lula;0
agua;maca;0
agua;mana;0
agua;manga;0
agua;massa;0
agua;nata;0
agua;pasta;0
agua;pera;0
agua;peta;0
agua;roma;0
agua;salsa;0
agua;soja;0
agua;sopa;0
agua;taia;0
agua;uva;0
agua;vagem;0
cjeiro;cariru;0
cjeiro;coentro;0
cjeiro;jilo;0
cjeiro;queijo;0
nectar;nata;0
nectar;nectarina;0
nectar;peta;0
salgadinho;salgado;1
endro;cidra;0
endro;coentro;0
endro;louro;0
endro;nabo;0
endro;nego;0
melissa;massa;0
cominho+;bolinho;0
paozinho;bolinho;0
cabocha;cebola;0
cabocha;chicha;0
cabocha;pacoca;0
cabocha;pamonha;0
paprica;araca;0
paprica;canjica;0
paprica;pacoca;0
paprica;tapioca;0
pancs;banha;0
pancs;cana;0
pancs;aves;0
pancs;jaca;0
pancs;maca;0
pancs;mana;0
pancs;manga;0
pancs;pacoca;0
pancs;pao;0
pancs;pasta;0
pancs;pinha;0
pitaya;batata;0
pitaya;peta;0
pitaya;pinha;0
pitaya;taia;0
alimento;pimenta;0
alimento;pimentao;0
pudim;capim;0
pudim;aipim;0
disco;doce;0
disco;coco;0
disco;figo;0
disco;jilo;0
disco;limao;0
disco;marisco;0
disco;milho;0
disco;risoto;0
disco;rosca;0
disco;suco;0
tatarca;araca;0
tatarca;batata;0
tatarca;tapioca;0
mimosa;amora;0
mimosa;lima;0
mimosa;massa;0
picole;pacoca;0
mandiocaasc;mandioca;1
buque;caqui;0
buque;pequi;0
buque;quibe;0
xuxu;caju;0
xuxu;caxi;0
xuxu;fuba;0
xuxu;lula;0
xuxu;mix;0
xuxu;suco;0
xuxu;umbu;0
xuxu;uva;0
cebolete;cebola;0
prerparado;preparacao;1
fibras;cidra;0
fibras;citrus;0
fibras;fuba;0
fibras;frutas;0
coentrinho;coentro;1
tilapia;taia;0
sarolho;alho;0
sarolho;molho;0
sarolho;repolho;0
saroio;salsao;0
esfira;nespera;0
cupcake;cupuacu;0
vagemado;vagem;1
celeia;acelga;0
celeia;aveia;0
celeia;cebola;0
sache;acai;0
sache;alho;0
sache;doce;0
sache;banha;0
sache;cacau;0
sache;cafe;0
sache;sucos;0
sache;carne;0
sache;jaca;0
sache;maca;0
sache;salsa;0
sache;suco;0
verdura;cenoura;0
inglesa;inga;0
mudas;sucos;0
mudas;fuba;0
mudas;frutas;0
mudas;lula;0
mudas;maca;0
mudas;mamao;0
mudas;mana;0
mudas;massa;0
mudas;melao;0
mudas;uva;0
chiro;caldo;0
chiro;cara;0
chiro;cariru;0
chiro;charuto;0
chiro;chicha;0
chiro;cidra;0
chiro;coco;0
chiro;figo;0
chiro;jilo;0
chiro;louro;0
chiro;suino;0
chiro;trigo;0
tche;acai;0
tche;alho;0
tche;doce;0
tche;cafe;0
tche;pe;0
tche;taia;0
tozzo;bolo;0
tozzo;coco;0
tozzo;louro;0
tozzo;molho;0
tozzo;oleo;0
tozzo;ovo;0
tozzo;polvo;0
tozzo;torta;0
tozzo;trigo;0
bella;acelga;0
bella;banha;0
bella;barra;0
bella;beiju;0
bella;bolo;0
bella;broa;0
bella;cebola;0
bella;erva;0
bella;fecula;0
bella;lula;0
bella;mel;0
bella;melao;0
bella;pera;0
bella;peta;0
bella;polpa;0
bella;salsa;0
jon;doce;0
jon;bolo;0
jon;broa;0
jon;cana;0
jon;coco;0
jon;jaca;0
jon;jilo;0
jon;mana;0
jon;mel;0
jon;mix;0
jon;ovo;0
jon;pao;0
jon;pe;0
jon;roma;0
jon;soja;0
jon;sopa;0
jon;uva;0
cubose;sucos;0
cubose;cebola;0
saches;sucos;0
saches;aves;0
quijada;quiabo;0
abiu;acai;0
abiu;alho;0
abiu;aveia;0
abiu;beiju;0
abiu;cacau;0
abiu;caju;0
abiu;capim;0
abiu;caqui;0
abiu;cariru;0
abiu;caxi;0
abiu;babacu;0
abiu;aves;0
abiu;jambu;0
abiu;mix;0
abiu;nabo;0
abiu;taia;0
abiu;umbu;0
abiu;aipim;0
mapati;acai;0
mapati;batata;0
mapati;maca;0
mapati;mamao;0
mapati;mana;0
cheiuro;charuto;0
cheiuro;coentro;0
guisado;quiabo;0
agroind;agriao;0
agroin;agriao;0
agroin;arroz;0
aletria;atemoia;0
aletria;aveia;0
mentira;cenoura;0
mentira;maniva;0
mentira;manteiga;0
bisnaga;banana;0
bisnaga;inga;0
leiteuht;leite;1
margarina;tangerina;0
bacon;acai;0
bacon;bacaba;0
bacon;bacuri;0
bacon;banana;0
bacon;banha;0
bacon;barra;0
bacon;bolo;0
bacon;broa;0
bacon;cacau;0
bacon;sucos;0
bacon;coco;0
bacon;jaca;0
bacon;maca;0
bacon;nabo;0
bacon;pacoca;0
bacon;pao;0
bacon;suco;0
alhoado;alho;1
alhoado;salgado;0
atum;acai;0
atum;alho;0
atum;caju;0
atum;capim;0
atum;caqui;0
atum;aves;0
atum;nata;0
atum;taia;0
atum;vagem;0
atum;aipim;0
machiche;chicha;0
cereal;acerola;0
cereal;cara;0
cereal;cebola;0
cereal;creme;0
cereal;erva;0
cereal;pera;0
cereal;xerem;0
temp;creme;0
temp;lima;0
temp;mel;0
temp;nego;0
temp;pe;0
temp;pera;0
temp;peta;0
temp;roma;0
temp;taia;0
temp;tempero;1
gelia;acelga;0
gelia;aveia;0
gelia;erva;0
gelia;lima;0
gelia;lula;0
gelia;mel;0
gelia;melao;0
gelia;pera;0
gelia;peta;0
gelia;polpa;0
gelia;salsa;0
gelia;taia;0
gelia;uvaia;0
laranjaupo;laranja;1
aboboraupo;abobora;1
abacaxiupo;abacaxi;1
mucarela;escarola;0
cajazinha;catalonha;0
maizena;mana;0
chero;caldo;0
chero;cara;0
chero;charuto;0
chero;cidra;0
chero;coco;0
chero;coentro;0
chero;creme;0
chero;louro;0
chero;nego;0
chero;oleo;0
chero;pera;0
pimentimha;pimenta;1
franco;araca;0
franco;morango;0
