fnde_raw;ipea_raw;check
pimentinha;pimenta;1
bebida;beiju;0
bebida;biriba;0
bebida;cebola;0
orelha;acelga;0
orelha;ervilha;0
orelha;hortela;0
orelha;uvalha;0
corante;carne;0
corante;morango;0
corante;sorvete;0
corante;tomate;0
mandioquinha;canjiquinha;0
couveada;cocada;0
couveada;couve;1
mandiocaada;mandioca;1
pimentoes;pimenta;0
pimentoes;pimentao;1
mamoes;amora;0
mamoes;aves;0
mamoes;mamao;1
garrafa;araca;0
garrafa;barra;0
batatinha;batata;1
batatinha;catalonha;0
linguica;linhaca;0
bolachinha;bolacha;1
geleia;aveia;0
tareco;araca;0
tareco;marisco;0
tareco;marmelo;0
tareco;trigo;0
tomatinho;tamarindo;0
tomatinho;toucinho;0
cheiroverdeado;cheiroverde;1
limoes;lima;0
limoes;limao;1
rapadurinha;rapadura;1
amido;agriao;0
amido;alho;0
amido;ameixa;0
amido;amendoa;0
amido;amora;0
amido;caldo;0
amido;figo;0
amido;jambo;0
amido;jilo;0
amido;limao;0
amido;mamao;0
amido;milho;0
amido;mix;0
amido;palmito;0
amido;suino;0
amido;trigo;0
mandiocaado;mandioca;1
pernil;pepino;0
pernil;pequi;0
pernil;pera;0
queijada;queijo;0
laranjinha;laranja;1
bandeja;banana;0
bandeja;banha;0
bisc;beiju;0
bisc;bolo;0
bisc;broa;0
bisc;figo;0
bisc;jilo;0
bisc;kiwi;0
bisc;lima;0
bisc;mix;0
bisc;rosca;0
nozes;doce;0
nozes;aves;0
nozes;oleo;0
marmelada;marmelo;0
sacolao;pacoca;0
sacolao;salsao;0
cabotia;cagaita;0
cabotia;cebola;0
aboboraada;abobora;1
cajuina;cagaita;0
cajuina;caja;0
cajuina;caju;0
cajuina;cana;0
cajuina;canjica;0
cajuina;caqui;0
pupunha;pamonha;0
pupunha;pinha;0
pupunha;mugunza;0
picado;caldo;0
picado;cocada;0
picado;limao;0
picado;melado;0
picado;pao;0
picado;pinhao;0
iscas;acai;0
iscas;cacau;0
iscas;sucos;0
iscas;inga;0
iscas;jaca;0
iscas;maca;0
iscas;rosca;0
mistura;mostarda;0
cheiro;cariru;0
cheiro;coentro;0
cheiro;queijo;0
cabutia;cagaita;0
cabutia;caqui;0
banjeda;banana;0
banjeda;banha;0
banjeda;canjica;0
sobre;doce;0
sobre;couve;0
sobre;louro;0
sobre;soja;0
sobre;sopa;0
sobre;sorda;0
lentilha;bertalha;0
lentilha;ervilha;0
cueca;acucar;0
cueca;araca;0
cueca;aveia;0
cueca;cacau;0
cueca;caja;0
cueca;cana;0
cueca;cara;0
cueca;chicha;0
cueca;cidra;0
cueca;coco;0
cueca;creme;0
cueca;cuscuz;0
cueca;fuba;0
cueca;jaca;0
cueca;lula;0
cueca;maca;0
cueca;pera;0
cueca;peta;0
cueca;rosca;0
cueca;suco;0
cueca;uva;0
cravo;araca;0
cravo;cafe;0
cravo;caja;0
cravo;caju;0
cravo;caldo;0
cravo;cana;0
cravo;cara;0
cravo;carne;0
cravo;caxi;0
cravo;coco;0
cravo;couve;0
cravo;creme;0
cravo;erva;0
cravo;fava;0
cravo;nabo;0
cravo;ovo;0
cravo;pao;0
cravo;polvo;0
cravo;trigo;0
beterrabaada;beterraba;1
cenouraada;cenoura;1
