fnde_raw;ipea_raw;check
cuca;acucar;0
cuca;cacau;0
cuca;caja;0
cuca;cana;0
cuca;cara;0
cuca;coco;0
cuca;fuba;0
cuca;jaca;0
cuca;lula;0
cuca;maca;0
cuca;suco;0
cuca;uva;0
amendoimao;amendoim;1
ora;amora;0
ora;broa;0
ora;cara;0
ora;erva;0
ora;ovo;0
ora;pera;0
ora;roma;0
ora;soja;0
ora;sopa;0
ora;sorda;0
ora;torta;0
ora;uva;0
frango;morango;0
galinha;farinha;0
galinha;salsinha;0
file;figo;0
file;jilo;0
un;pe;0
un;uva;0
bananada;banana;0
miudo;milho;0
corte;carne;1
corte;couve;0
corte;torta;0
iog;figo;0
iog;inga;0
goiabada;goiaba;0
mini;kiwi;0
mini;mana;0
mini;mix;0
;pe;0
baru;barra;0
baru;caju;0
baru;cara;0
grango;morango;0
iorgute;iogurte;1
raiz;taia;0
pipoca;pacoca;0
abobobora;abobora;1
goiabaid;goiaba;1
laranjaid;laranja;1
ponca;pinha;0
ponca;polpa;0
ponca;rosca;0
ponca;ponkan;1
chimia;chicha;0
beb;mel;0
beb;pe;0
tortei;torta;0
caixa;caja;0
caixa;cana;0
caixa;cara;0
caixa;caxi;0
caixa;taia;0
aipo;alho;0
aipo;figo;0
aipo;jilo;0
aipo;aipim;0
figado;figo;0
acc;acai;0
acc;jaca;0
acc;maca;0
pote;doce;1
pote;pe;0
pote;peta;0
grao;agriao;0
grao;broa;0
grao;pao;0
alcega;acelga;1
macacheira;macaxeira;1
poupas;polpa;1
lombo;bombom;0
lombo;jambo;0
lombo;limao;0
lombo;louro;0
frago;figo;0
frago;trigo;0
coxa;caja;0
coxa;cana;0
coxa;cara;0
coxa;caxi;0
coxa;coco;0
coxa;roma;0
coxa;soja;0
coxa;sopa;0
sonho;molho;0
c;pe;0
alfaceid;alface;1
brocolisid;brocolis;1
br;broa;0
br;pe;0
mam;maca;0
mam;mamao;1
mam;mana;0
mam;mel;0
mam;mix;0
mam;pao;0
raspa;massa;0
raspa;pasta;0
raspa;rosca;0
vinho;milho;0
vinho;pinha;0
vinho;pinhao;0
cominho;bolinho;0
paes;aves;0
paes;pao;1
paes;pe;0
req;mel;0
req;pe;0
preparado;preparacao;1
isca;inga;0
isca;jaca;0
isca;maca;0
isca;rosca;0
abobobrinha;abobrinha;1
chu;caju;0
ravioli;graviola;0
sal;mel;0
sal;pao;0
sal;salsa;0
t;pe;0
melacos;melado;0
melacos;melao;0
salvia;salada;0
salvia;salsa;0
pastel;pasta;0
pizza;pinha;0
poejo;polvo;0
gerimun;jerimum;1
couveflorid;couveflor;1
broto;bolo;0
broto;broa;0
flocao;flocos;1
moida;sorda;0
xicoria;chicoria;1
ovovs;ovo;1
peito;peixe;0
peito;leite;0
peito;pepino;0
peito;peta;0
ovosd;ovo;1
cubos;sucos;0
abrobinha;abobrinha;1
polenta;pimenta;0
pocan;ponkan;1
blos;bolo;1
blos;broa;0
sidro;cidra;1
beterra;beterraba;1
palma;pasta;0
palma;polpa;0
palma;salsa;0
brocolo;brocolis;1
nozinho;bolinho;0
poncam;ponkan;1
macarracao;macarrao;1
papinha;farinha;0
papinha;pamonha;0
papinha;pinha;0
cha;caja;0
cha;cana;0
cha;cara;0
cha;uva;0
panc;cana;0
panc;mana;0
panc;pao;0
folha;molho;0
folha;polpa;0
ac;acai;0
ac;jaca;0
ac;maca;0
ac;pao;0
ac;pe;0
salame;salada;0
canela;cana;0
arraia;araca;0
bife;cafe;0
bala;banha;0
bala;barra;0
bala;bolo;0
bala;broa;0
bala;caja;0
bala;cana;0
bala;cara;0
bala;fava;0
bala;jaca;0
bala;lula;0
bala;maca;0
bala;mana;0
bala;nata;0
bala;salsa;0
bala;taia;0
kg;pe;0
cuxa;caja;0
cuxa;cana;0
cuxa;cara;0
cuxa;caxi;0
cuxa;fuba;0
cuxa;lula;0
cuxa;uva;0
cn;cana;0
cn;pe;0
polplas;polpa;1
fibra;cidra;0
fibra;fuba;0
ciriguela;seriguela;1
feij;beiju;0
feij;feijao;1
brocole;brocolis;1
pitaia;taia;0
joao;bolo;0
joao;coco;0
joao;jilo;0
joao;ovo;0
joao;pao;0
curau;cacau;0
curau;cara;0
maracujina;maracuja;0
beijumg;beiju;1
poca;doce;0
poca;coco;0
poca;jaca;0
poca;maca;0
poca;pacoca;0
poca;pera;0
poca;peta;0
poca;polpa;0
poca;roma;0
poca;rosca;0
poca;soja;0
poca;sopa;0
