fnde_raw;ipea_raw;check
cebilinha;cebolinha;1
feilao;feijao;1
repolhho;repolho;1
produtos;produto;1
cenora;cenoura;1
aranja;laranja;1
aabobrinha;abobrinha;1
melanci;melancia;1
baterraba;beterraba;1
ponkam;ponkan;1
rebolho;repolho;1
broculis;brocolis;1
melanciai;melancia;1
pimentaod;pimentao;1
aboborad;abobora;1
mangai;manga;1
yogurte;iogurte;1
bnanana;banana;1
bnana;banana;1
couves;couve;1
cebolina;cebolinha;1
beijug;beiju;1
abobrora;abobora;1
amedoim;amendoim;1
abobrinhas;abobrinha;1
couver;couve;1
tempeiro;tempero;1
larranja;laranja;1
ioguryte;iogurte;1
alfaces;alface;1
ccebola;cebola;1
me;mel;1
me;pe;0
uvas;uva;1
espinafres;espinafre;1
leitte;leite;1
maracua;maracuja;1
ceblinha;cebolinha;1
macad;maca;1
alcelga;acelga;1
farina;farinha;1
macal;maca;1
abobrina;abobrinha;1
pimetao;pimentao;1
povilho;polvilho;1
banan;banana;1
repoulho;repolho;1
temepro;tempero;1
mandioxa;mandioca;1
pepinoi;pepino;1
aceroola;acerola;1
caquis;caqui;1
bolino;bolinho;1
bolino;bovino;0
pimnta;pimenta;1
laranaja;laranja;1
mama;maca;0
mama;mamao;0
mama;mana;0
abaicaxi;abacaxi;1
de;pe;0
abacaxis;abacaxi;1
tamgerina;tangerina;1
macaxiera;macaxeira;1
fejao;feijao;1
acafraos;acafrao;1
vingreira;vinagreira;1
pipenta;pimenta;1
maraxeira;macaxeira;1
maxixie;maxixe;1
facula;fecula;1
madioca;mandioca;1
salsinhad;salsinha;1
centro;coentro;1
ovod;ovo;1
tangerinad;tangerina;1
molhos;molho;1
boce;doce;1
blo;bolo;1
batat;batata;1
slsinha;salsinha;1
espinfre;espinafre;1
lalface;alface;1
mamae;mamao;1
jougome;jongome;1
mexixe;maxixe;1
maracujas;maracuja;1
posta;pasta;0
btatata;batata;1
maracuua;maracuja;1
jaboticaba;jabuticaba;1
alh;alho;1
del;mel;1
bergamora;bergamota;1
esinafre;espinafre;1
rocolis;brocolis;1
rapadur;rapadura;1
pepina;pepino;1
pinho;pinha;1
pinho;pinhao;0
cove;couve;1
piao;pao;1
tomati;tomate;1
pasoca;pacoca;1
macaxeeira;macaxeira;1
miho;milho;1
poplpa;polpa;1
feijo;feijao;1
quaibo;quiabo;1
quibo;quiabo;1
quibo;quibe;0
poulpa;polpa;1
camu;caju;1
nota;nata;1
abbora;abobora;1
cebolaa;cebola;1
malancia;melancia;1
mracuja;maracuja;1
bobora;abobora;1
poimentao;pimentao;1
feijjao;feijao;1
pimenttao;pimentao;1
beijud;beiju;1
chucu;chuchu;1
broc;broa;1
floco;flocos;1
mingal;mingau;1
barata;batata;1
gerimum;jerimum;1
pimenao;pimentao;1
feijaao;feijao;1
biscoto;biscoito;1
pepno;pepino;1
gpiaba;goiaba;1
aacaxi;abacaxi;1
lranja;laranja;1
imenta;pimenta;1
nacaxeira;macaxeira;1
mmelancia;melancia;1
chucbu;chuchu;1
abbrinha;abobrinha;1
paolpa;polpa;1
chucchu;chuchu;1
polkpa;polpa;1
maao;mamao;1
sacos;sucos;0
melanciaa;melancia;1
penino;pepino;1
repollho;repolho;1
pipino;pepino;1
outras;outros;1
sasinha;salsinha;1
hortalicas;hortalica;1
mandiocaa;mandioca;1
evilha;ervilha;1
requijao;requeijao;1
milhos;milho;1
abacaxid;abacaxi;1
vouve;couve;1
vinaggreira;vinagreira;1
aborinha;abobrinha;1
cococ;coco;1
manao;mamao;1
manao;mana;1
quiaba;quiabo;1
vinagreiras;vinagreira;1
pepinol;pepino;1
majericao;manjericao;1
farinah;farinha;1
feujao;feijao;1
pimnetao;pimentao;1
jongomes;jongome;1
tomatye;tomate;1
qiuabo;quiabo;1
jangome;jongome;1
piimentao;pimentao;1
frainha;farinha;1
ceboinha;cebolinha;1
pimanta;pimenta;1
aboboba;abobora;1
pementao;pimentao;1
abacte;abacate;1
pimemta;pimenta;1
aboboro;abobora;1
alfece;alface;1
alaface;alface;1
feiao;feijao;1
tamate;tomate;1
ceobolinha;cebolinha;1
repolha;repolho;1
popla;polpa;1
abobra;abobora;1
cabola;cebola;1
ainpim;aipim;1
